date,category,title,article_count,clean_title,keywords
2025-01-17,total,"'강경파' 김성훈 경호처 차장 체포…""정당한 업무""",87,강경파 김성훈 경호처 차장 체포 정당한 업무,"['강경파', '김성훈', '차장', '업무']"
2025-01-17,total,"갤럽조사도 역전…국민의힘 39% , 민주 36%",67,갤럽조사도 역전 국민의힘 39 민주 36,"['갤럽', '역전', '민주']"
2025-01-17,total,권성동 “민주 내란 특검법은 종북‧위헌 버무린 괴물”,47,권성동 민주 내란 특검법은 종북 위헌 버무린 괴물,"['권성동', '민주', '내란', '특검', '위헌', '괴물']"
2025-01-17,total,"HD현대, 자재 대금 3500억원 규모 조기 지급",44,HD현대 자재 대금 3500억원 규모 조기 지급,"['현대', '자재', '대금', 'HD']"
2025-01-17,total,"한수원·한전, 웨스팅하우스와 지재권 분쟁 종료",44,한수원 한전 웨스팅하우스와 지재권 분쟁 종료,"['수원', '한전', '웨스팅하우스', '지재']"
2025-01-17,total,崔 대행 “미국 신정부 출범 불확실성 면밀히 모니터링”,36,대행 미국 신정부 출범 불확실성 면밀히 모니터링,"['대행', '미국', '출범', '불확실성', '모니터링']"
2025-01-17,total,"WB “트럼프 보편관세, 세계성장률 0.3%p↓”",35,WB 트럼프 보편관세 세계성장률 0 3 p,"['트럼프', '보편', '관세', '세계', '성장률', 'WB']"
2025-01-17,total,트럼프 취임식에 시진핑 대신 한정 부주석 참석,35,트럼프 취임식에 시진핑 대신 한정 부주석 참석,"['트럼프', '취임식', '시진핑', '대신', '한정', '부주석']"
2025-01-17,total,임원 성과급 자사주로…삼성전자 책임경영 강화,32,임원 성과급 자사주로 삼성전자 책임경영 강화,"['임원', '성과급', '사주', '삼성전자', '책임']"
2025-01-16,total,"법원 ""오늘 오후 5시 尹 체포적부심사 심문""",200,법원 오늘 오후 5시 체포적부심사 심문,['심문']
2025-01-16,total,"새해 첫 한은 금통위, 기준금리 연 3.00% 동결",98,새해 첫 한은 금통위 기준금리 연 3 00 동결,"['금통위', '동결']"
2025-01-16,total,"與 '계엄특검' 당론 발의키로…""최악보다 차악이 낫다""",90,계엄특검 당론 발의키로 최악보다 차악이 낫다,"['계엄', '특검', '당론', '최악', '차악']"
2025-01-16,total,공수처 “尹 체포적부심 결과 보고 구속영장 청구 검토”,67,공수처 체포적부심 결과 보고 구속영장 청구 검토,"['공수', '적부심', '구속영장', '청구']"
2025-01-16,total,‘윤석열 체포’에도 탄핵심판 ‘예정대로’,54,윤석열 체포 에도 탄핵심판 예정대로,"['윤석열', '에도', '탄핵', '심판']"
2025-01-16,total,"尹체포에…與, 이재명 사법리스크 '총공세'",54,체포에 이재명 사법리스크 총공세,"['이재명', '사법', '리스크', '총공세']"
2025-01-16,total,"포스코이앤씨, 협력사 거래대금 420억 조기 지급",54,포스코이앤씨 협력사 거래대금 420억 조기 지급,"['포스코', '대금']"
2025-01-16,total,국힘 35%-민주 33%…지지율 오차범위 내 ‘역전’,37,국힘 35 민주 33 지지율 오차범위 내 역전,"['민주', '오차', '역전']"
