date,category,title,article_count
2025-01-23,total,"검찰, 이재명 선거법 사건 위헌법률심판 의견서 제출",34
2025-01-22,total,공수처는 오늘도 공쳤다…尹강제구인 세번째 시도 불발,140
2025-01-22,total,"트럼프 ""다음달부터 중국 10% 관세 부과 논의 중""",55
2025-01-22,total,"'서부지법 난동' 58명 중 56명 구속…""도주 우려""",43
2025-01-22,total,"""北 핵보유국"" 트럼프 발언에 정치권 술렁",35
2025-01-22,total,"최 대행 ""주요 기관에 경찰기동대 24시간 상시 배치""",33
2025-01-22,total,"대명, 티웨이항공 경영권 인수 본격화",31
2025-01-22,total,"배민, 내달 26일부터 수수료 최대 7.8% 인하",30
2025-01-22,total,"헌재 ""문형배 대행, 이재명 모친상 안 가"" 반박",30
2025-01-22,total,"김병환 금융위원장 ""은행 대출금리 내릴 때 됐다""",28
2025-01-22,total,판사 대상 흉악범죄 예고글 등 3명 검거…55건 수사,27
2025-01-21,total,"윤석열 대통령, 탄핵심판 3차 변론 위해 헌재 도착",172
2025-01-21,total,멜라니아 취임식 패션 화제…디자이너에 '눈길',101
2025-01-21,total,최상목 “이른 시일 내 트럼프 대통령과 통화 추진”,90
2025-01-21,total,"공수처 ""尹 헌재 출석으로 오전 강제구인 어려워""",87
2025-01-21,total,"트럼프 ""김정은은 '핵보유국'…내 귀환 반길 것""",69
2025-01-21,total,"트럼프, 파리 기후변화협정 '재탈퇴'",63
2025-01-21,total,"檢, 서부지법 난입 46명 전원에 구속영장 청구",57
2025-01-21,total,"崔대행, TV수신료 통합징수 등 3개 법안 거부권 행사",51
2025-01-21,total,"임종석 “이재명만 바라보는 민주당, 지금 괜찮냐”",45
2025-01-21,total,코스피 상장 유지조건 대폭 상향,42
2025-01-20,total,"공수처 ""윤 대통령 강제구인 유력 검토""",111
2025-01-20,total,서부지법 사태로 체포된 90명 중 66명 구속영장,97
2025-01-20,total,법원 난동에 음모론 재생산한 국민의힘,95
2025-01-20,total,"헌재 ""이진숙 탄핵 사건 선고, 23일 결과 나온다""",74
2025-01-20,total,"경찰, ‘삼청동 대통령 안가’ 압수수색 다시 시도",73
2025-01-20,total,"오세훈 ""트럼프 시대, 변화를 기회로 만들어야""",73
2025-01-20,total,"박찬대 ""서부지법 폭동 배후·선동세력까지 발본색원해야""",61
2025-01-20,total,"최상목 ""미 신정부 집권 초기, 한국 경제 골든타임""",53
2025-01-20,total,국힘 46.5% vs 민주 39.0%…與野 지지율 역전,43
2025-01-20,total,스타벅스 음료가격 인상한다…아메리카노 4700원,41
2025-01-31,total,"블룸버그 ""삼성전자, 엔비디아 HBM3E 8단 승인""",117
2025-01-31,total,"정진석 등 대통령실 참모들, 오늘 윤 대통령 접견",86
2025-01-31,total,"최상목 권한대행, 7번째 거부권 행사 초읽기",81
2025-01-31,total,"헌재 “재판관 SNS, 탄핵과 어떤 연관인지 의문”",65
2025-01-31,total,美추락 여객기에 한국계 ‘피겨 유망주’ 2명 탑승,56
2025-01-31,total,"트럼프 ""'탈달러' 100% 관세""…브릭스에 경고",54
2025-01-31,total,"영풍·MBK, 고려아연·최윤범 회장 공정위 신고",37
2025-01-31,total,이재명 “추경 집행한다면 민생지원금 포기 가능”,33
2025-01-31,total,윤 대통령 내란사건 31일 재판부 배당,29
2025-01-31,total,"수원시, 중소기업 AI 무역청 이용 기업 모집",28
2025-01-30,total,"미 워싱턴에서 여객기·헬기 충돌...""60여 명 탑승""",100
2025-01-30,total,"민주 김민석 ""중도층, 윤 파면·민주 정권교체 우세""",38
2025-01-30,total,"최상목 ""美정책 불확실성 여전…24시간 시장 점검""",28
2025-01-30,total,"기준금리 동결에 트럼프 ""연준, 인플레 대응 실패""",26
2025-01-30,total,`서민 외식 메뉴` 자장면의 배신…10년새 65% 껑충,22
2025-01-30,total,"崔대행, 내란 특검법 또 거부할까…내일 국무회의서 결단",22
2025-01-30,total,설날 노모 때려 살해한 60대 남성 구속영장,21
2025-01-30,total,오요안나 죽음에 안철수도 분노…“MBC가 2차 가해”,20
2025-01-30,total,공개매수 계획 빼돌려 수십억 챙긴 직원들 검찰고발,19
2025-01-30,total,딥시크 쇼크에...이복현 “주식시장 변동성 커질 수도”,19
2025-01-29,total,"崔대행 ""에어부산 여객기 화재사고, 철저한 조사해야""",83
2025-01-29,total,"백악관 “트럼프, 완전한 북한 비핵화 추구할 것”",37
2025-01-29,total,"김경수, 이재명 겨냥 “정당 사유화, 아픈 이름”",25
2025-01-29,total,설날에 치매 80대 노모 때려 숨지게 한 아들 검거,21
2025-01-29,total,“가련한 처지”… 북한 ‘尹 구속기소’ 나흘 만에 보도,20
2025-01-29,total,2호선 신당역 외부화재 연기 유입…무정차 통과,19
2025-01-29,total,"중국 관영지 ""딥시크, 中 통제 실패 증거""",18
2025-01-29,total,대설특보 전국 해제…위기경보 ‘관심’으로 하향,16
2025-01-29,total,"박지원 “尹, 영부인 걱정일랑 마세요…금세 갈 것”",16
2025-01-29,total,"""부채춤은 중국 전통 춤""인니 설행사 오류, 왜 이러나",14
2025-01-28,total,"트럼프, 관세 부과 방침 재확인…반도체·의약품 등 언급",51
2025-01-28,total,일본도 '딥시크 쇼크'… 닛케이지수 1.39% 하락,38
2025-01-28,total,"尹, 설 메시지 ""나라 앞날 걱정…김건희 건강도 걱정""",37
2025-01-28,total,"여, 이재명 명절 메시지에 “재판부터 받길” 비판",27
2025-01-28,total,문재인 별세 강제동원 이춘식 나라 ,19
2025-01-28,total,연휴 뒤 ‘헌재의 시간’에 與 “편향성 우려” 공세,17
2025-01-28,total,"여야, 폭설에 ""정부, 사고 예방에 만전 기해달라""",15
2025-01-28,total,인천 전역 대설주의보 해제… 취약도로 제설작업 지속,14
2025-01-28,total,현역병 체중 20대 감량 징역형 ,13
2025-01-28,total,억대 수입차 판매 감소…경기 침체 등 영향,12
2025-01-27,total,"尹측 “검찰 기소, 공수처 수사 불법의 연장”",89
2025-01-27,total,트럼프 “관세 50% 부과”…‘백기투항’한 콜롬비아,49
2025-01-27,total,하나금융 차기 회장에 함영주 내정…회추위 연임 추천,49
2025-01-27,total,"홍준표 ""조기대선시 정권교체보다 권력교체가 더 와닿아""",32
2025-01-27,total,"외신, '尹 내란혐의 구속 기소' 신속 보도",28
2025-01-27,total,"문재인 ""어느 때보다 어려운 상황...하루빨리 정상화""",24
2025-01-27,total,"“제주항공 사고기, 활주로 2km 앞 블랙박스 정지”",21
2025-01-27,total,내일까지 전국 많은 눈 예상···중대본도 가동,17
2025-01-27,total,"서부지법, “尹 영장판사 탄핵집회에…” 주장 신평 고발",17
2025-01-27,total,"""휴게소 들러 우동·돈가스 먹자""…결제하려다 화들짝",16
2025-02-07,total,"경제성 없다는데 ""계속 파자""는 與…野는 ""사기극""",64
2025-02-07,total,고환율 못 버텨…커피·과자·아이스크림 값 줄줄이 오른다,55
2025-02-07,total,"崔권한대행 ""이달 임시국회에서 밸류업 세제 논의해야""",54
2025-02-07,total,"尹 ""국민의 자존심이 대통령…당당한 자세 견지할 것""",53
2025-02-07,total,"김경수, 민주당 복당 ""'더 큰 민주당' 계기""",51
2025-02-07,total,리포트 성장 수익 키움증권 000원 메리츠증권 ,44
2025-02-07,total,"네이버, 국내 플랫폼 기업 최초 매출 10조 돌파",41
2025-02-07,total,"검찰, '인도 방문·샤넬재킷 의혹' 김정숙 여사 무혐의",39
2025-02-07,total,"정세균 “다양성 존중없는 획일적 원팀, 힘이 없다”",34
2025-02-07,total,"“헌재 부숴야” 막말 김용원, 내란선동 혐의로 고발",30
2025-02-06,total,"윤측 ""내란 세력, 軍이 국회 마비 왜곡…증인도 회유""",127
2025-02-06,total,윤석열 대통령 호송차‚ 6차 변론 위해 헌재 도착,108
2025-02-06,total,"조지호 경찰청장 측 ""지시 따랐을 뿐...공범 아니다""",100
2025-02-06,total,"최상목, 국조특위서 ""마은혁 임명 헌재 결정 존중""",88
2025-02-06,total,"이재명 측근 김용, 대장동 재판 2심도 징역 5년",64
2025-02-06,total,"SK이노, 작년 4분기 영업익 1599억원 '흑자전환'",48
2025-02-06,total,"이재용 무죄 사흘 만에…기소했던 이복현 ""국민께 사과""",48
2025-02-06,total,현대글로비스 작년 매출 28.4조원…영업익 12.8%↑,42
2025-02-06,total,작년 경상수지 990억달러 흑자,41
2025-02-06,total,"BNK금융그룹, 지난해 누적 당기순이익 8027억원",38
2025-02-05,total,"권성동, 李 위헌법률심판 제청에 “기본도덕이나 챙기길”",106
2025-02-05,total,"트럼프 “가자지구, 미국이 점령해 발전시킬 것”",76
2025-02-05,total,"김용현, 내란 국조특위 현장조사 청문회 불출석",68
2025-02-05,total,1월 소비자물가 2.2%↑‥5개월 만에 2%대 재진입,63
2025-02-05,total,美 충전 동맹 '아이오나' 출범…현대차·기아 참여,59
2025-02-05,total,‘작년 역대 최대 순익’ 카카오뱅크 7% 이상 강세,47
2025-02-05,total,김용현 “애국전사들께”…서부지법 피의자 영치금 보내,46
2025-02-05,total,"경찰, 어제 한덕수 국무총리 소환…계엄 국무회의 조사",44
2025-02-05,total,"李 정부·여당에 ""추경 즉각 추진해야""",44
2025-02-05,total,'마약류 유통·투약' 베트남인 무더기 적발,43
2025-02-04,total,여인형·홍장원 오늘 헌재 출석…탄핵심판 분수령,135
2025-02-04,total,"최 대행 ""금주부터 민생·경제 대응플랜 본격 가동""",126
2025-02-04,total,‘트럼프 관세’ 받고 더블로 간 中 “텅스텐 수출통제”,114
2025-02-04,total,'내란 국조특위' 2차 청문회...尹 동행명령장 발부,86
2025-02-04,total,'울산시장 선거개입' 의혹 황운하·송철호 2심 무죄,64
2025-02-04,total,"이재용·올트먼·손정의, 삼성 서초사옥서 3자 회동",60
2025-02-04,total,김문수 “대선 출마 검토한 적 없어…尹 탄핵 기각돼야”,51
2025-02-04,total,"전 특전사령관 ""'의원' 말고 빼낼 '요원'은 없었다""",45
2025-02-04,total,우리·국민·농협 부당대출 3천875억원 적발,43
2025-02-04,total,"‘내란 우두머리’ 혐의 尹측, 법원에 구속 취소 청구",34
2025-02-03,total,"미, 4일부터 캐나다·멕시코에 25% 관세…중국 10%",188
2025-02-03,total,"헌재, '마은혁 임명' 권한쟁의·헌법소원 선고 연기",135
2025-02-03,total,"이재용, 19개 혐의 모두 '무죄'…1심 이어 2심도",109
2025-02-03,total,"이재명, 국회 통상특위 제안…""글로벌 통상전쟁 대비""",68
2025-02-03,total,"르노코리아, 1월 내수·수출 등 3814대 판매",66
2025-02-03,total,"경찰, 故 오요안나 직장 내 괴롭힘 의혹 내사 착수",64
2025-02-03,total,"작년 국내소비, 2003 신용불량사태 이후 최대 감소",62
2025-02-03,total,尹 “계엄으로 국민이 野 행태 알게 된 건 다행”,54
2025-02-03,total,"임종석 “이재명, 대선 패배 성찰 대신 문재인 탓해”",50
2025-02-03,total,"권영세·권성동, 서울구치소 수감 중인 윤 대통령 면회",46
2025-02-14,total,"헌재, 20일 尹대통령 탄핵심판 10차 변론 열기로",93
2025-02-14,total,"이재명 ""與, 추경 말로만…협의 할 생각 없어 보여""",85
2025-02-14,total,"'불법 촬영' 황의조, 1심서 징역형 집행유예",58
2025-02-14,total,"이재명 “尹 끌어안는 국힘, 극우도 아닌 범죄 정당”",40
2025-02-14,total,"국회 운영위, 마은혁 재판관 임명촉구 결의안 의결",38
2025-02-14,total,"최상목 ""공매도 재개 차질 없도록 시장과 소통""",38
2025-02-14,total,"청년 고용률, 4년 만에 ‘최대 하락’…건설업도 ‘뚝’",37
2025-02-14,total,리포트 한국금융지주 실적 100 000원 ,36
2025-02-14,total,"미 ""상호관세 이르면 4월 부과""...한국 영향 불가피",33
2025-02-14,total,‘트럼프보다 먼저’ 모디 만난 머스크…트럼프 반응은,31
2025-02-13,total,尹대통령은 왜 국정원장 만나고도 홍장원에 전화했나,84
2025-02-13,total,윤석열 대통령 탄핵 심판 8차 변론,83
2025-02-13,total,"박찬대 ""尹탄핵심판 3월초 전망…헌재, 신속파면 당부""",67
2025-02-13,total,'50억 클럽' 의혹 박영수 1심서 징역 7년…법정구속,57
2025-02-13,total,"정의선, 미국에서 ‘실세’ 트럼프 주니어와 골프 만남",50
2025-02-13,total,"민주, 35조 슈퍼추경 제안…지역화폐 13조원",48
2025-02-13,total,"트럼프, 푸틴·젤렌스키 통화…""종전 협상 즉시 시작""",43
2025-02-13,total,"北 금강산 이산가족면회소 철거…정부성명 ""즉각 중단""",42
2025-02-13,total,문형배 동창카페 음란물 논란...與 “즉각 사퇴해야”,42
2025-02-13,total,"금감원·금융사, 사외이사 양성·역량강화 협력",40
2025-02-12,total,"尹, 옥중에서 초등생 사망사건 애도 ""명복 빌어""",84
2025-02-12,total,"최상목 ""내주 수출전략회의…관세 피해기업 지원 논의""",66
2025-02-12,total,"헌재 “尹 탄핵 심판변론, 추가기일 결정된 바 없다”",66
2025-02-12,total,野 단독 `명태균 특검법` 국회 법사위 상정,62
2025-02-12,total,천정부지 금값에 '금 현물 ETF'도 불티,51
2025-02-12,total,"오세훈 “중앙정부, 실질적 권한 지방에 이양해야”",50
2025-02-12,total,"'시청역 역주행 참사' 운전자, 1심 금고 7년 6개월",46
2025-02-12,total,"'음주 뺑소니' 김호중 2심서 ""술타기 수법 안 해""",38
2025-02-12,total,"공정위, 신한·우리은행 현장조사…'LTV 담합' 재조사",38
2025-02-12,total,잠실·삼성·대치·청담 토지거래허가구역 해제…재건축 제외,38
2025-02-11,total,트럼프 “예외·면제국가 없다… 車·반도체도 관세 검토”,150
2025-02-11,total,권성동 “국정위기 유발자는 이재명 대표와 민주당”,128
2025-02-11,total,이상민 “尹에 언론사 등 단전·단수 지시받은 적 없어”,103
2025-02-11,total,초등생 살해 교사 나흘 전에도 학교서 난동,102
2025-02-11,total,"尹 ""줄탄핵 악의적…야당과의 대화·타협 거부도 프레임""",66
2025-02-11,total,"박찬대 ""명태균 특검 불가피…이달 안 처리""",61
2025-02-11,total,"최상목 권한대행, 제6차 국무회의 모두발언",54
2025-02-11,total,"양대노총 ""더 내고 덜 받는 연금개혁은 개악""",41
2025-02-11,total,"이재명 “선거법 2심 판결, 아무 걱정 안해”",37
2025-02-11,total,"임종룡 우리금융 회장, 자회사 직접 방문",33
2025-02-10,total,이재명 “국회의원 국민소환제 도입…주4일제로 가야”,85
2025-02-10,total,"최상목 대행, 트럼프 ‘철강 관세’ 대응 논의",76
2025-02-10,total,"에이피알, 작년 매출 7228억원…“역대 최대”",75
2025-02-10,total,리포트 한국항공우주 성장 수주 회복 000원 키움증권 ,54
2025-02-10,total,'99억 코인 은닉' 의혹 김남국 전 의원 무죄,45
2025-02-10,total,"국민의힘 ""이재명의 '잘사니즘'은 '뻥사니즘'""",44
2025-02-10,total,"삼양식품, 글로벌 브랜드 '맵' 일본 시장 진출",40
2025-02-10,total,"인권위, '尹 방어권 보장 안건' 회의…지지자들 몰려",39
2025-02-10,total,‘마은혁 권한쟁의’ 변론 재개…청구 적법성 쟁점,36
2025-02-10,total,"당정 ""국방전략기술에 3조 투자…방산 연장근로도 지원""",36
2025-02-21,total,‘비명’ 박용진에 손 내민 이재명…“함께 위기 극복”,70
2025-02-21,total,"경찰, 尹 특수공무방해 입건…체포저지 문자메시지 확보",47
2025-02-21,total,"임종석 “민주당, 중도보수 아냐…우클릭 정답 아냐”",41
2025-02-21,total,국민의힘 34%·민주 40%…'尹 탄핵 찬성' 60％,38
2025-02-21,total,"최상목 권한대행 ""이달 중 가계부채 관리 방안 발표""",37
2025-02-21,total,尹 변호인단 “공수처 중앙지법 영장청구했다 기각”주장,35
